"Line","Lowfloor","All"
1,18,18
2,11,11
3,12,12
4,2,16
6,8,16
7,6,13
9,16,31
10,6,17
11,13,13
13,6,10
14,7,9
15,4,15
17,20,20
18,6,6
20,8,14
22,3,16
23,7,16
24,13,17
25,4,14
26,9,18
27,2,8
28,4,13
31,9,9
33,10,23
35,8,18
44,0,9
77,0,0
