"Hour","Count"
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,4
8,389
9,364
10,322
11,281
12,292
13,321
14,376
15,387
16,389
17,385
18,380
19,313
20,262
21,200
22,160
23,123
